run_id,block_idx,M_block,g_E_value,pre_bound_term,post_bound_term,Delta_j,bound_ratio,bound_active,realized_block_rho,raw_Psi_meanI_state_block,raw_Psi_persistence_I_block
R_E_bounded_kp0_7599_dp0_0518_s31415,9,0.3602,-4.4536,-0.2308,-0.0518,0.0518,0.9997,True,0.3591,0.0058,0.0544
R_E_bounded_kp0_7599_dp0_0518_s31415,10,0.3591,-4.9185,-0.2549,-0.0518,0.0518,0.9999,True,0.3628,0.0075,0.0794
R_E_bounded_kp0_7599_dp0_0518_s31415,11,0.3628,-3.4474,-0.1787,-0.0517,0.0518,0.998,True,0.3599,0.0093,0.04
R_E_bounded_kp0_7599_dp0_0518_s31415,12,0.3599,-4.5937,-0.2381,-0.0518,0.0518,0.9998,True,0.3623,0.0037,0.0754
R_E_bounded_kp0_7599_dp0_0518_s31415,13,0.3623,-3.6193,-0.1876,-0.0518,0.0518,0.9986,True,0.3627,0.0033,0.064
R_E_bounded_kp0_7599_dp0_0518_s31415,14,0.3627,-3.492,-0.181,-0.0517,0.0518,0.9981,True,0.3602,0.006,0.0635
R_E_bounded_kp0_7599_dp0_0518_s31415,15,0.3602,-4.4663,-0.2315,-0.0518,0.0518,0.9997,True,0.3679,0.0071,0.0696
R_E_bounded_kp0_7599_dp0_1032_s42,0,0.3714,0.0,0.0,0.0,0.1032,0.0,False,0.3653,0.0072,0.0649
R_E_bounded_kp0_7599_dp0_1032_s42,1,0.3653,-2.4539,-0.2532,-0.1017,0.1032,0.9853,True,0.3531,0.0039,0.0505
R_E_bounded_kp0_7599_dp0_1032_s42,2,0.3531,-7.294,-0.7526,-0.1032,0.1032,1.0,True,0.3487,0.0081,0.0708
R_E_bounded_kp0_7599_dp0_1032_s42,3,0.3487,-9.0581,-0.9346,-0.1032,0.1032,1.0,True,0.3516,0.0073,0.0558
R_E_bounded_kp0_7599_dp0_1032_s42,4,0.3516,-7.9117,-0.8164,-0.1032,0.1032,1.0,True,0.3524,0.0065,0.0621
R_E_bounded_kp0_7599_dp0_1032_s42,5,0.3524,-7.5869,-0.7829,-0.1032,0.1032,1.0,True,0.3545,0.0079,0.0588
R_E_bounded_kp0_7599_dp0_1032_s42,6,0.3545,-6.7335,-0.6948,-0.1032,0.1032,1.0,True,0.3509,0.0049,0.0571
R_E_bounded_kp0_7599_dp0_1032_s42,7,0.3509,-8.1537,-0.8413,-0.1032,0.1032,1.0,True,0.3501,0.0074,0.0738
R_E_bounded_kp0_7599_dp0_1032_s42,8,0.3501,-8.4849,-0.8755,-0.1032,0.1032,1.0,True,0.3505,0.0016,0.0651
R_E_bounded_kp0_7599_dp0_1032_s42,9,0.3505,-8.3384,-0.8604,-0.1032,0.1032,1.0,True,0.3535,0.0084,0.0915
R_E_bounded_kp0_7599_dp0_1032_s42,10,0.3535,-7.1284,-0.7355,-0.1032,0.1032,1.0,True,0.3536,0.0066,0.0695
R_E_bounded_kp0_7599_dp0_1032_s42,11,0.3536,-7.1093,-0.7336,-0.1032,0.1032,1.0,True,0.3493,0.0071,0.0429
R_E_bounded_kp0_7599_dp0_1032_s42,12,0.3493,-8.8033,-0.9084,-0.1032,0.1032,1.0,True,0.3561,0.0047,0.0748
R_E_bounded_kp0_7599_dp0_1032_s42,13,0.3561,-6.1094,-0.6304,-0.1032,0.1032,1.0,True,0.3513,0.0013,0.0476
R_E_bounded_kp0_7599_dp0_1032_s42,14,0.3513,-8.0073,-0.8262,-0.1032,0.1032,1.0,True,0.3507,0.0061,0.0572
R_E_bounded_kp0_7599_dp0_1032_s42,15,0.3507,-8.262,-0.8525,-0.1032,0.1032,1.0,True,0.3525,0.0039,0.0726
R_E_bounded_kp0_7599_dp0_1032_s137,0,0.3714,0.0,0.0,0.0,0.1032,0.0,False,0.3689,0.0074,0.0627
R_E_bounded_kp0_7599_dp0_1032_s137,1,0.3689,-1.0146,-0.1047,-0.0792,0.1032,0.7677,False,0.3563,0.0019,0.0436
R_E_bounded_kp0_7599_dp0_1032_s137,2,0.3563,-6.0266,-0.6219,-0.1032,0.1032,1.0,True,0.3508,0.0082,0.0529
R_E_bounded_kp0_7599_dp0_1032_s137,3,0.3508,-8.2047,-0.8466,-0.1032,0.1032,1.0,True,0.3524,0.0076,0.0786
R_E_bounded_kp0_7599_dp0_1032_s137,4,0.3524,-7.5933,-0.7835,-0.1032,0.1032,1.0,True,0.3502,0.008,0.0605
R_E_bounded_kp0_7599_dp0_1032_s137,5,0.3502,-8.4467,-0.8716,-0.1032,0.1032,1.0,True,0.3493,0.0099,0.0651
R_E_bounded_kp0_7599_dp0_1032_s137,6,0.3493,-8.8224,-0.9103,-0.1032,0.1032,1.0,True,0.3504,0.0099,0.043
R_E_bounded_kp0_7599_dp0_1032_s137,7,0.3504,-8.3639,-0.863,-0.1032,0.1032,1.0,True,0.3544,0.0053,0.0747
R_E_bounded_kp0_7599_dp0_1032_s137,8,0.3544,-6.759,-0.6974,-0.1032,0.1032,1.0,True,0.3488,0.0064,0.0668
